                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 2.0609,                 1.7572,                 2.3384,                0.85496,                 0.6978,                0.78658,                0.51254,                 2.5937,                 1.6759,                 2.7143,             0.00031373,             0.00031373,             0.00031373
                     84,                 2.0391,                 1.7043,                 2.2912,                 0.7978,                0.73506,                0.79222,                 0.5173,                 2.5779,                  1.605,                 2.7267,             0.00029723,             0.00029723,             0.00029723
                     85,                 2.0512,                 1.7244,                 2.3178,                0.83743,                0.68888,                0.78335,                0.51805,                 2.5664,                 1.5779,                 2.6862,             0.00028072,             0.00028072,             0.00028072
                     86,                 2.0536,                 1.7007,                  2.324,                0.86862,                0.68758,                 0.7855,                0.50828,                 2.5894,                 1.6122,                 2.7126,             0.00026422,             0.00026422,             0.00026422
                     87,                 2.0238,                 1.6241,                 2.2913,                0.83558,                0.72272,                0.78765,                0.52601,                 2.5316,                 1.6052,                 2.6779,             0.00024772,             0.00024772,             0.00024772
                     88,                 1.9918,                 1.6757,                 2.2767,                0.81877,                0.75367,                0.80463,                0.52197,                 2.5943,                 1.5986,                 2.7514,             0.00023121,             0.00023121,             0.00023121
                     89,                 2.0099,                 1.6894,                 2.3053,                0.84106,                0.72535,                0.79668,                0.52258,                 2.5635,                 1.6082,                 2.7233,             0.00021471,             0.00021471,             0.00021471
                     90,                 1.9778,                 1.6546,                 2.3028,                 0.8303,                0.73506,                 0.7893,                0.51674,                  2.566,                 1.6146,                 2.7174,             0.00019821,             0.00019821,             0.00019821
                     91,                  1.835,                 1.3214,                 2.1973,                0.84602,                  0.687,                0.77932,                0.51078,                  2.604,                 1.7021,                 2.7399,              0.0001817,              0.0001817,              0.0001817
                     92,                 1.7784,                 1.2511,                 2.1978,                0.84337,                0.73047,                0.80486,                0.53243,                 2.5471,                 1.5661,                 2.6975,              0.0001652,              0.0001652,              0.0001652
                     93,                 1.7602,                 1.2052,                 2.1658,                0.88294,                0.70255,                0.79829,                0.52666,                 2.5753,                 1.5602,                 2.7103,              0.0001487,              0.0001487,              0.0001487
                     94,                 1.7835,                 1.2121,                 2.1648,                0.80383,                0.73559,                0.80207,                0.53146,                 2.5462,                 1.5572,                 2.7012,             0.00013219,             0.00013219,             0.00013219
                     95,                 1.7564,                 1.1701,                 2.1516,                0.84184,                0.70251,                0.80427,                0.52895,                 2.5444,                 1.5962,                 2.7336,             0.00011569,             0.00011569,             0.00011569
                     96,                 1.7034,                 1.1781,                 2.1312,                0.81294,                0.72535,                0.79535,                0.52537,                 2.5461,                 1.6092,                 2.7399,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                 1.7167,                  1.156,                 2.1368,                0.85172,                0.70215,                0.80571,                 0.5345,                 2.5318,                 1.5649,                 2.7298,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                 1.6802,                 1.1723,                 2.1147,                 0.8228,                0.73098,                0.81076,                0.53685,                  2.534,                 1.5356,                 2.7127,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                 1.6674,                 1.1076,                  2.121,                0.78865,                  0.762,                0.80481,                0.53301,                 2.5188,                 1.5338,                 2.6982,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                 1.6764,                 1.1322,                 2.1188,                0.76679,                0.76824,                0.80238,                0.52844,                 2.5206,                 1.5487,                 2.7046,             3.3173e-05,             3.3173e-05,             3.3173e-05
